ORIGINE	DESTINATION	Distance
1100119211	1100119212	1857,18518
1100119211	1100119210	2152,51392
1100119211	1100119222	2349,03711
1100119211	1100119201	2772,09351
1100119119	1100118533	1991,5592
1100119119	1100119120	1641,26624
1100119119	1100119113	1529,21094
1100119119	1100119124	4442,69678
1100119119	1100118527	1572,81433
1100119119	1100118526	1911,67456
1100118533	1100119119	1991,5592
1100118533	1100118532	1642,01392
1100118533	1100118527	1086,13269
1100118533	1100118537	3856,76611
1100118533	1100119124	4094,83887
1100118533	1100118521	1437,78027
1100119113	1100119120	1452,88696
1100119113	1100119119	1529,21094
1100119113	1100119213	1229,14282
1100118527	1100118521	1088,8374
1100118527	1100118533	1086,13269
1100118527	1100119119	1572,81433
1100118527	1100118526	554,13452
1100118521	1100118527	1088,8374
1100118521	1100118526	961,41229
1100118521	1100118532	452,80579
1100118521	1100118533	1437,78027
1100118521	1100118522	605,40399
1100118521	1100118534	1056,17407
1100118526	1100118529	1011,03192
1100118526	1100118521	961,41229
1100118526	1100118528	914,63867
1100118526	1100119120	1689,01355
1100118526	1100119119	1911,67456
1100118526	1100118527	554,13452
1100119120	1100119113	1452,88696
1100119120	1100119102	996,40784
1100119120	1100119119	1641,26624
1100119120	1100119213	1972,08386
1100119120	1100118528	1335,71326
1100119120	1100118526	1689,01355
1100119120	1100118525	977,3764
1100119120	1100119101	872,17548
1100119213	1100119114	1025,91211
1100119213	1100119212	1158,41296
1100119213	1100119120	1972,08386
1100119213	1100119201	1730,09705
1100119213	1100119113	1229,14282
1100119213	1100119102	1881,60632
1100118529	1100118526	1011,03192
1100118529	1100118524	898,75165
1100118529	1100118522	805,68158
1100118529	1100118528	696,56921
1100118529	1100118523	692,75928
1100118529	1100118502	1199,80652
1100118522	1100118523	441,7641
1100118522	1100118529	805,68158
1100118522	1100118534	707,76068
1100118522	1100118521	605,40399
1100118528	1100118525	517,51581
1100118528	1100118526	914,63867
1100118528	1100119120	1335,71326
1100118528	1100118529	696,56921
1100118528	1100118501	911,93127
1100118528	1100118502	1427,66773
1100118523	1100118522	441,7641
1100118523	1100118534	681,216
1100118523	1100118536	948,18323
1100118523	1100118529	692,75928
1100118523	1100118524	624,11328
1100119212	1100119211	1857,18518
1100119212	1100119213	1158,41296
1100119212	1100119201	1006,75568
1100118525	1100118528	517,51581
1100118525	1100118501	736,8183
1100118525	1100119120	977,3764
1100119114	1100119213	1025,91211
1100119114	1100119201	1705,37524
1100119114	1100119102	1107,80945
1100119114	1100119115	1217,60645
1100119210	1100119201	1390,56702
1100119210	1100119211	2152,51392
1100119210	1100119217	1211,97681
1100119210	1100119209	1208,30347
1100119210	1100119222	2341,22266
1100119210	1100119208	904,51721
1100119218	1100119219	1768,45789
1100119218	1100119217	1622,67273
1100119218	1100119222	1026,37781
1100119218	1100119215	1074,21753
1100119101	1100118501	955,1994
1100119101	1100119102	472,24735
1100119101	1100119120	872,17548
1100119201	1100119210	1390,56702
1100119201	1100119114	1705,37524
1100119201	1100119211	2772,09351
1100119201	1100119212	1006,75568
1100119201	1100119213	1730,09705
1100119201	1100119115	1561,78442
1100119201	1100119112	2324,46362
1100119201	1100119202	1494,84766
1100119201	1100119108	2115,97656
1100119201	1100119208	1709,25977
1100118501	1100119101	955,1994
1100118501	1100118525	736,8183
1100118501	1100118502	932,2749
1100118501	1100118528	911,93127
